schema,table_name,category,description_es,source_es,grain_es,primary_use_es
Bronce,Calibres,Frutas,Diámetros de bayas para clasificación comercial,Excel calibres,fecha+modulo+turno+variedad,Proyección oferta por calibre
Bronce,Censo_Plantas,Sanidad,Conteo poblacional plantas (buenas/regulares/malas/muertas),Excel censo_plantas,fecha+modulo+turno+valvula+variedad+estado,Monitoreo salud & replanta planning
Bronce,Ciclos_Fenologicos,Fenología,Etapa fenológica por color de cinta marcadora,Excel ciclos_fenologicos,fecha+modulo+turno+valvula+organo+color,Seguimiento maduración fruta
Bronce,Cierre_Mapas_Cosecha,Cosecha,Cierre de bloques de cosecha (completitud),Excel cierre_mapas,fecha+modulo+variedad,Validación integridad cosecha
Bronce,Consolidado_Tareos,Labor,Horas trabajadas por persona actividad labor,SAP tareos,fecha+dni+modulo+turno+actividad+labor,Costo labor & productividad
Bronce,Conteo_Fruta,Fenología,Conteo de frutos por etapa (botones/flores/pequeñas/grandes/creams/maduras/cosechables),Excel conteo_fruta,fecha+modulo+turno+valvula+punto+variedad,Core input forecasting 6 semanas
Bronce,Cosecha_SAP,Cosecha,Cosecha real SAP: kg_total area plantas,SAP cosecha,fecha+semana+modulo+turno+valvula+variedad,Source-of-truth cosecha para validar forecasts
Bronce,Data_SAP,Post-Cosecha,Post-cosecha SAP: cliente material lote almacen pesos remisión,SAP warehouse,fecha_cosecha+consumidor+variedad+lote+almacen,Trazabilidad post-cosecha & supply chain
Bronce,Evaluacion_Calidad_Poda,Estructura,Calidad de poda: tallos diámetro cortes defectuosos altura,Excel evaluacion_poda,fecha+modulo+turno+valvula+variedad+tipo_eval,QA poda ejecutada
Bronce,Evaluacion_Pesos,Pesos,Peso de bayas por etapa (g/baya) + muestra,Excel evaluacion_pesos,fecha+modulo+turno+valvula+variedad,Curva de peso & yield forecasting
Bronce,Evaluacion_Vegetativa,Estructura,Estructura vegetal por piso: brotes productivos diámetro altura tallos basales,Excel evaluacion_vegetativa,fecha+modulo+turno+valvula+cama+variedad+piso,Predicción enfermedad & validación madurez
Bronce,Fiscalizacion,Auditoría,Auditorías operativas de cumplimiento,Excel fiscalizacion,fecha+dni+modulo+turno,Compliance tracking
Bronce,Fisiologia,Estructura,Estado fisiológico yemas (hinchadas/productivas por tercio),Excel fisiologia,fecha+modulo+turno+valvula+tercio+variedad,Predicción potencial floración
Bronce,Floracion,Fenología,Plantas en flor vs evaluadas,Excel floracion (subset evaluacion_vegetativa),fecha+modulo+turno+valvula+cama+variedad,Detección ventana polinización
Bronce,Induccion_Floral,Fenología,Resultados inducción floración fuera estación (plantas % con inducción y flores),Excel induccion_floral,fecha+modulo+turno+valvula+cama+variedad,Validación protocolo inducción counter-season
Bronce,Maduracion,Fenología,Maduración de fruta marcada (color + días desde marcado),Excel maduracion,fecha+modulo+turno+valvula+variedad+organo+color,Ripeness tracking & harvest scheduling
Bronce,Peladas,Sanidad,Frutas desnudadas (expuestas por enfermedad/daño) por etapa,Excel peladas,fecha+modulo+turno+valvula+punto+variedad,Detección urgencia sanitaria
